Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Curmir,,,,HOMME,205,,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,14
Curran,,,,HOMME,206,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,33
D’clan,,,,HOMME,207,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
D’fio,,,,HOMME,208,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
D’miel,,,,HOMME,209,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
D’namal,,,,HOMME,210,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
D’nek,,,,HOMME,211,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
D’nol,,,,HOMME,212,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21
D’ram,,,,HOMME,213,,0,12,0,0,0,51,0,11,106,0,0,0,136,127,51,494
D’say,,,,HOMME,214,,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,22
D’wer,,,,HOMME,215,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
Dag,,,,HOMME,216,,0,0,0,73,25,2,0,0,0,0,0,0,0,0,0,100
Dalma,,,,FEMME,217,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Dalova,,,,FEMME,218,,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,13
Danegga,,,,FEMME,219,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Dangel,,,,HOMME,220,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Danja,,,,FEMME,221,,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19
Dannell,,,,HOMME,222,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
David,Catarel,Dave,,HOMME,223,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Debera,Deb,,,FEMME,224,,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,172
