Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Chuck,Kimmage,,,HOMME,180,,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32
Chung,,,,HOMME,181,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ciparis,,,,HOMME,182,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
Clagesh,,,,HOMME,183,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Clargesh,,,,FEMME,184,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
Clell,,,,HOMME,185,,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25
Clim,,,,HOMME,186,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clisser,Cliss,,,HOMME,187,,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,165
Clostan,,,,HOMME,188,,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41
Cobber,Alhinwa,,,HOMME,189,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Cogneur,,,,HOMME,190,,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,48
Colmin,,,,HOMME,191,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Conwy,,,,HOMME,192,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
Corana,,,,FEMME,193,,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43
Cording,,,,HOMME,194,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Corman,,,,HOMME,195,,0,1,0,0,0,12,0,2,18,0,0,0,5,58,2,98
Cosira,,,,FEMME,196,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,12
Cr’not,,,,HOMME,197,,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,10
Creline,,,,HOMME,198,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Crenden,Cren,,,HOMME,199,,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,75
Crivelan,Crivellan-aux-doigts-agiles,,,HOMME,200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Curella,,,,FEMME,201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Curmir,,,,HOMME,202,,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,14
Curran,,,,HOMME,203,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,33
D’clan,,,,HOMME,204,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
D’fio,,,,HOMME,205,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
D’miel,,,,HOMME,206,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
D’namal,,,,HOMME,207,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
D’nek,,,,HOMME,208,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
D’nol,,,,HOMME,209,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21
D’ram,,,,HOMME,210,,0,12,0,0,0,51,0,11,106,0,0,0,136,127,51,494
D’say,,,,HOMME,211,,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,22
