Id unique,NOMS HUMAINS,SECOND NOM,TROISIEME NOM,aliases
499.0,G’narish,,,G’narish
500.0,G’ranad,,,G’ranad
501.0,G’ron,Giron,,G’ron Giron | Giron | G’ron
502.0,G’sel,,,G’sel
502.0,G’sel,,,G’sel
502.0,G’sel ,,,G’sel
503.0,Gabin,,,Gabin
504.0,Gabred,,,Gabred
505.0,Gaby,,,Gaby
506.0,Gallian,Galli,,Gallian Galli | Gallian | Galli
507.0,Gandidan,Gandiran,,Gandidan Gandiran | Gandidan | Gandiran
508.0,Ganmar,,,Ganmar
509.0,Garben,,,Garben
510.0,Gardillon,,,Gardillon
511.0,Gardner,,,Gardner
512.0,Gardrow,,,Gardrow
513.0,Garm,,,Garm
514.0,Garrel,,,Garrel
515.0,Garrel,,,Garrel
516.0,Gayton,,,Gayton
517.0,Gedenase,,,Gedenase
518.0,Geger,,,Geger
519.0,Gellim,,,Gellim
520.0,Genjon,,,Genjon
521.0,Gennell,,,Gennell
522.0,Germathen,,,Germathen
523.0,Gifflen,,,Gifflen
524.0,Gomalsi,,,Gomalsi
525.0,Gorazde,,,Gorazde
526.0,Gorby,,,Gorby
527.0,Gostol,,,Gostol
528.0,Gram,,,Gram
529.0,Grevil,,,Grevil
530.0,Grodon,,,Grodon
531.0,Grogellan,,,Grogellan
532.0,Groghe,,,Groghe
532.0,Groghe,,,Groghe
533.0,Gyorgy,,,Gyorgy
534.0,H’mar,,,H’mar
535.0,H’nalt,,,H’nalt
536.0,H’nor,,,H’nor
537.0,Halefor,,,Halefor
538.0,Halibran,,,Halibran
539.0,Haligon,,,Haligon
540.0,Hamian,,,Hamian
541.0,Hayon,,,Hayon
542.0,Hegmon,,,Hegmon
543.0,Helly,,,Helly
544.0,Hillegel,,,Hillegel
545.0,Hittet,,,Hittet
546.0,Hobson,,,Hobson
547.0,Horon,,,Horon
548.0,Hosbon,,,Hosbon
549.0,Iantine,Ian,,Iantine Ian | Iantine | Ian
550.0,Idarolan,Iddie,,Idarolan Iddie | Idarolan | Iddie
551.0,Idoralan,,,Idoralan
552.0,Ifor,,,Ifor
553.0,Issony,,,Issony
554.0,Ivan,le Terrible,,Ivan le Terrible | le Terrible | Ivan
555.0,J’dar,,,J’dar
556.0,J’fery,,,J’fery
557.0,J’ralt,Jeralte,,J’ralt Jeralte | Jeralte | J’ralt
558.0,Jacob,Chernoff,,Jacob Chernoff | Chernoff | Jacob
559.0,Jake,Chernoff,,Jake Chernoff | Chernoff | Jake
560.0,Jamson,,,Jamson
561.0,Jarrol,,,Jarrol
562.0,Jaxom,Jax,,Jaxom Jax | Jaxom | Jax
563.0,Jaxom,,,Jaxom
564.0,Jayge,Lilcamp,,Jayge Lilcamp | Lilcamp | Jayge
565.0,Jemmy,,,Jemmy
566.0,Jepson,,,Jepson
567.0,Jerin,,,Jerin
568.0,Jerint,,,Jerint
569.0,Jerrint,,,Jerrint
570.0,Jerry,Mercer,,Jerry Mercer | Mercer | Jerry
571.0,Jesken,,,Jesken
572.0,Jez,,,Jez
573.0,Jim,Tillek,James,Jim Tillek James | Tillek James | Jim Tillek | Jim James | Tillek | James | Jim
574.0,Jiro,Akamoto,,Jiro Akamoto | Akamoto | Jiro
575.0,Jivan,,,Jivan
576.0,Joanson,,,Joanson
577.0,Joël,Lilienkamp,Joel / Lili,Joël Lilienkamp Joel / Lili | Lilienkamp Joel / Lili | Joël Joel / Lili | Joël Lilienkamp | Joel / Lili | Lilienkamp | Joël
578.0,Jol,,,Jol
579.0,Jubb,,,Jubb
580.0,K’dall,,,K’dall
581.0,K’dren,,,K’dren
582.0,K’drin,,,K’drin
583.0,K’lon ,,,K’lon
584.0,K’nebel,,,K’nebel
585.0,K’net,,,K’net
586.0,K’van,,,K’van
587.0,K’vin,Kev,,K’vin Kev | K’vin | Kev
588.0,Kailey,,,Kailey
589.0,Kale,,,Kale
590.0,Kalem,,,Kalem
591.0,Kaljan,,,Kaljan
592.0,Kalvi,,,Kalvi
593.0,Kanadin,K’din,,Kanadin K’din | Kanadin | K’din
594.0,Karenchok,,,Karenchok
595.0,Kashman,,,Kashman
596.0,Kepiru,,,Kepiru
597.0,Kern,,,Kern
598.0,Ketrin,,,Ketrin
599.0,Kevelon,,,Kevelon
600.0,Kinsale,,,Kinsale
601.0,Kinver,,,Kinver
602.0,Kirnety,,,Kirnety
603.0,Kizan,,,Kizan
604.0,Kulan,,,Kulan
605.0,Kwan ,Marceau,,Kwan Marceau | Marceau | Kwan
606.0,Kylos,,,Kylos
607.0,L’bol,,,L’bol
608.0,L’mal,,,L’mal
609.0,L’rad,,,L’rad
610.0,L’rayl,,,L’rayl
611.0,L’sur,,,L’sur
612.0,L’tol,Lytol,Lytonal,L’tol Lytol Lytonal | Lytol Lytonal | L’tol Lytonal | L’tol Lytol | Lytonal | Lytol | L’tol
613.0,L’trel,,,L’trel
614.0,L’zan,,,L’zan
615.0,Laland,,,Laland
616.0,Landon,,,Landon
617.0,Langrell,,,Langrell
618.0,Larad,,,Larad
619.0,Laradian,,,Laradian
620.0,Laradian,,,Laradian
621.0,Laudey,,,Laudey
622.0,Lauley,,,Lauley
623.0,Lavel,,,Lavel
624.0,Lear,,,Lear
625.0,Leef,Leff,,Leef Leff | Leef | Leff
626.0,Lensdale,,,Lensdale
627.0,Léo,Léopol,,Léo Léopol | Léopol | Léo
628.0,Lesnour,,,Lesnour
629.0,Lesselden,,,Lesselden
630.0,Lexey,,,Lexey
631.0,Lias,,,Lias
632.0,Ligand,,,Ligand
633.0,Lobirn,,,Lobirn
634.0,Londik,,,Londik
635.0,Losacot,,,Losacot
636.0,Lozell,,,Lozell
637.0,Lur,,,Lur
638.0,M’barak,,,M’barak
639.0,M’gent,,,M’gent
640.0,M’leng,,,M’leng
641.0,M’odon,,,M’odon
642.0,M’rak,,,M’rak
643.0,M’rand,,,M’rand
644.0,M’ray,,,M’ray
645.0,M’rek,,,M’rek
646.0,M’ridin,,,M’ridin
647.0,M’shall,,,M’shall
648.0,M’sur,,,M’sur
649.0,M’tani,,,M’tani
650.0,Macabir,,,Macabir
651.0,Macester,,,Macester
652.0,Macy,,,Macy
653.0,Maidir,,,Maidir
654.0,Makfar,,,Makfar
655.0,Mallan,,,Mallan
656.0,Manotti,,,Manotti
657.0,Mar,Dook,,Mar Dook | Dook | Mar
658.0,Maranis,,,Maranis
659.0,Marcator,,,Marcator
660.0,Marco,Galliani,,Marco Galliani | Galliani | Marco
661.0,Marley,,,Marley
662.0,Marlifin,,,Marlifin
663.0,Matsen,,,Matsen
664.0,Mattew,Matt,,Mattew Matt | Mattew | Matt
665.0,Maxilant,,,Maxilant
666.0,Maylone,,,Maylone
667.0,Medaman,,,Medaman
668.0,Mekelroy,Pinch,,Mekelroy Pinch | Mekelroy | Pinch
669.0,Melongel,,,Melongel
670.0,Merdine,,,Merdine
671.0,Meron,,,Meron
672.0,Michael,,,Michael
673.0,Mick,,,Mick
674.0,Mickulin,,,Mickulin
675.0,Minnarden,,,Minnarden
676.0,Morif,,,Morif
677.0,Morilton,,,Morilton
678.0,Morin,,,Morin
679.0,Morshal,Morshall,,Morshal Morshall | Morshall | Morshal
680.0,Mosser,,,Mosser
681.0,Mostar,,,Mostar
682.0,Mumolon,,,Mumolon
683.0,Munchaun,,,Munchaun
684.0,Murfytwen,,,Murfytwen
685.0,N’gent,,,N’gent
686.0,N’men,,,N’men
