NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Curella,,,,,FEMME,54.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Curmir,,,,,HOMME,407.0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13
Curran,,,,,HOMME,408.0,,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,33
D’clan,,,Pranith,,HOMME,409.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
D’fio,,,Drenth,brun,HOMME,410.0,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
D’miel,,,,,HOMME,411.0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
D’namal,,,,,HOMME,412.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
D’nek,,,Zagenth,bronze,HOMME,413.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
D’nol,,,Valenth,bronze,HOMME,414.0,,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,21
D’ram,,,Tiroth,bronze,HOMME,415.0,,0,12,0,0,0,51,0,11,106,0,0,0,136,127,51,494
D’say,,,Kritith,bronze,HOMME,416.0,,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,19
D’wer,,,Trebeth,bleu,HOMME,417.0,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
Dag,,,,,HOMME,418.0,,0,0,0,73,25,0,0,0,0,0,0,0,0,0,0,98
Dalma,,,,,FEMME,55.0,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Dalova,,,Perforth,reine,FEMME,56.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11
Dalova,,,Allaneth,reine,FEMME,56.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11
Danegga,,,,,FEMME,57.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
Dangel,,,,,HOMME,419.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Danja,,,,,FEMME,58.0,,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19
Dannell,,,,,HOMME,420.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
David,Catarel,Dave,,,HOMME,421.0,,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Debera,Deb,,Morath,,FEMME,59.0,,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,172
Decker,,,,,,956.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Deckter,,,,,HOMME,422.0,,0,1,0,0,0,0,0,0,0,0,0,20,0,7,3,31
Declan,,,,,HOMME,423.0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
Deece,,,,,HOMME,424.0,,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,5
Deefer,,,,,HOMME,425.0,,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,12
Deegan,,,,,HOMME,426.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Deelan,,,,vert,FEMME,60.0,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18
Delart,,,,,FEMME,61.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Denol,,,,,HOMME,427.0,,0,4,0,0,0,17,0,0,0,0,0,0,0,14,1,36
Dermently,,,,,HOMME,428.0,,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6
Desdra,,,,,FEMME,62.0,,0,0,0,141,70,0,0,0,0,0,0,0,0,0,0,211
Desi,Arthied,,,,HOMME,429.0,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Diatis,,,,,HOMME,430.0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Dieter,Clissmann,,,,HOMME,431.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Diona,,,Killanath,reine,FEMME,63.0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18
Dirzan,,,,,HOMME,432.0,,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,88
Domaize,,,,,HOMME,433.0,,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
Domick,,,,,HOMME,434.0,,0,0,0,0,0,1,2,0,0,0,172,32,0,8,0,215
Dorai,,,,,HOMME,1037.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doral,,,,,HOMME,435.0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
Dorse,,,,,HOMME,436.0,,0,0,0,0,0,11,0,0,0,0,0,0,25,0,20,56
Dowell,,,,,FEMME,64.0,True,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,55
Drake,Bonneau,,,,HOMME,437.0,,83,1,0,0,0,1,0,0,0,0,0,0,0,1,0,86
Dresda,,,,,FEMME,65.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
