sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
16737,Le Seigneur des Anneaux,,,286,286,291,Vous ne semblez pas relever des anciennes listes que j'ai apprises dans mon jeune âge.,Vous ne sembler pas relever un ancien liste que jeavoir apprendre dans mon jeune âge.
16738,Le Seigneur des Anneaux,,,286,286,291,"Mais cela, c'était il y a longtemps, longtemps, et on en a peut-être fait de nouvelles.","Mais celer, ceêtre il y avoir longtemps, longtemps, et on en avoir peut-être faire de nouveau."
16739,Le Seigneur des Anneaux,,,286,286,291,Voyons!,Voyons!
16740,Le Seigneur des Anneaux,,,286,286,291,Voyons!,Voyons!
16741,Le Seigneur des Anneaux,,,286,286,291,Comment étaitce?,Comment étaitce?
16742,Le Seigneur des Anneaux,,,286,286,291,Apprenez maintenant la science des Créatures Vivantes!,Apprendre maintenant le science de Créature Vivant!
16743,Le Seigneur des Anneaux,,,286,286,291,"Nommez d'abord les quatre, les gens libres: Aînés de tous, les enfants des Elfes, Le Nain, fouilleur, sombres sont ses demeures, Le seigneur des anneaux Page 288 sur 288 DEUXIEME","Nommer deabord le quatre, le gens libre: Aîné de tout, le enfant de Elfe, Le Nain, fouilleur, sombre être son demeure, Le seigneur de anneau Page 288 sur 288 DEUXIEME"
16744,Le Seigneur des Anneaux,,,286,286,291,PARTIE,PARTIE
16745,Le Seigneur des Anneaux,,,286,286,291,LES DEUX,LE DEUX
16746,Le Seigneur des Anneaux,,,286,286,291,TOURS,TOUR
16747,Le Seigneur des Anneaux,,,286,286,291,Livre III,Livre III
16748,Le Seigneur des Anneaux,,,286,286,291,CHAPITRE QUATRE SYLVEBARBE,CHAPITRE QUATR SYLVEBARBE
16749,Le Seigneur des Anneaux,,,286,286,291,"L'Ent, né de la terre, vieux comme les montagnes, L'Homme, mortel, maître des chevaux, Hum, hum, hum.","LEEnt, naître de le terre, vieux comme le montagne, LEHomme, mortel, maître de cheval, Hum, hum, hum."
16750,Le Seigneur des Anneaux,,,286,286,291,"Le castor, constructeur, le daim, sauteur, L'ours, chasseur d'abeilles, le sanglier, lutteur, Le chien courant est affamé","Le castor, constructeur, le daim, sauteur, LEours, chasseur deabeille, le sanglier, lutteur, Le chien courant être affamé"
16751,Le Seigneur des Anneaux,,,286,286,291,", le lièvre peureux...",", le lièvre peureux..."
16752,Le Seigneur des Anneaux,,,286,286,291,"Hum, hum.","Hum, hum."
16753,Le Seigneur des Anneaux,,,286,286,291,"L'aigle dans son aire, le boeuf dans son pâturage, Le cerf couronné de bois, le faucon est plus rapide, Le cygne le plus blanc, le serpent le plus froid...","LEaigle dans son aire, le boeuf dans son pâturage, Le cerf couronner de bois, le faucon être plus rapide, Le cygne le plus blanc, le serpent le plus froid..."
16754,Le Seigneur des Anneaux,,,286,286,291,"Houm, hum, houm, hum,comment était-ce?","Houm, hum, houm, hum,comment être-ce?"
16755,Le Seigneur des Anneaux,,,286,286,291,"Boum tum, roum tum, roumty toum tum.","Boum tum, roum tum, roumty toum tum."
16756,Le Seigneur des Anneaux,,,286,286,291,C'était une longue liste.,CEêtre un long liste.
16757,Le Seigneur des Anneaux,,,286,286,291,"Mais de toute façon, il semble que vous ne cadriez nulle part!","Mais de tout façon, il sembler que vous ne cadrer nul part!"
16758,Le Seigneur des Anneaux,,,286,286,291,"» «II paraît qu'on a toujours été oubliés dans les anciennes listes et les anciennes histoires, dit Merry.","» «II paraître queon avoir toujours être oublier dans le ancien liste et le ancien histoire, dire Merry."
16759,Le Seigneur des Anneaux,,,286,286,291,Pourtant nous nous sommes promenés pas mal de temps.,Pourtant nous nous être promener pas mal de temps.
16760,Le Seigneur des Anneaux,,,286,286,291,Nous sommes des Hobbits» «,Nous être de Hobbit» «
16761,Le Seigneur des Anneaux,,,286,286,291,Pourquoi ne pas faire un nouveau vers?,Pourquoi ne pas faire un nouveau vers?
16762,Le Seigneur des Anneaux,,,286,286,291,"dit Pippin: Les Hobbits servi poussés, habitants des trous.","dire Pippin: Le Hobbit servir pousser, habitant de trou."
